,title,price,rating,image,description,url
42,,,,,,https://www.amazon.com/Computer-Keyboard-Indicators-Spill-Resistant-Anti-Wear/dp/B09NLS9TK4/ref=sr_1_35?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.KStilQrMggEq6GFc8gVpOFgQKnOO6YtfAbeg24lybudMzjD1pHsiS5SBcgIjWTPvxSGNvEKyOafStdIIxV_js3dUDbqk1sjyC1GQcuQri8LC1iKXbuI0PphGHHSCoYFcycRqpzWfjqwHILdCvmITMo5lvpI7x8vRHrQRn4pNsBVeIgcTZU63A0mqvZpmh8oKaE2_WFHWVlodts9qykD8K1u996wBoFEewZEJMO23LKc.eiaXUKH_2Sa17AH6wYcdcjXtlhBbRUfqXE1PbYfFpLs&dib_tag=se&keywords=keyboard&qid=1711376518&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-35
43,"Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit Mini Keyboard, Waterproof Small Ultra-Compact 61 Keys Keyboard for PC/Mac Gamer, Typist, Travel, Easy to Carry on Business Trip(Black-White)",$27.98,4.3 ,https://m.media-amazon.com/images/I/61UGJ7z-sUL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Snpurdiri-Keyboard-Ultra-Compact-Waterproof-Black-White/dp/B097T276QL/ref=sr_1_36?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.KStilQrMggEq6GFc8gVpOFgQKnOO6YtfAbeg24lybudMzjD1pHsiS5SBcgIjWTPvxSGNvEKyOafStdIIxV_js3dUDbqk1sjyC1GQcuQri8LC1iKXbuI0PphGHHSCoYFcycRqpzWfjqwHILdCvmITMo5lvpI7x8vRHrQRn4pNsBVeIgcTZU63A0mqvZpmh8oKaE2_WFHWVlodts9qykD8K1u996wBoFEewZEJMO23LKc.eiaXUKH_2Sa17AH6wYcdcjXtlhBbRUfqXE1PbYfFpLs&dib_tag=se&keywords=keyboard&qid=1711376518&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-36
44,"Large Print Backlit Keyboard, Quiet USB Wired Computer Keyboard, Full Size Keyboard with White Illuminated LED Compatible for Windows Desktop, Laptop, PC, Gaming, Black",$28.99,4.5 ,https://m.media-amazon.com/images/I/71lI0RJAInL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjc5MzUwMTA0NDY3MDg0OjE3MTEzNzY1MTg6c3BfYnRmOjIwMDA1NzIzOTk2MDY5ODo6MDo6&url=%2FKeyboard-KopJippom-Computer-Illuminated-Compatible%2Fdp%2FB09LH4KF5H%2Fref%3Dsr_1_37_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.KStilQrMggEq6GFc8gVpOFgQKnOO6YtfAbeg24lybudMzjD1pHsiS5SBcgIjWTPvxSGNvEKyOafStdIIxV_js3dUDbqk1sjyC1GQcuQri8LC1iKXbuI0PphGHHSCoYFcycRqpzWfjqwHILdCvmITMo5lvpI7x8vRHrQRn4pNsBVeIgcTZU63A0mqvZpmh8oKaE2_WFHWVlodts9qykD8K1u996wBoFEewZEJMO23LKc.eiaXUKH_2Sa17AH6wYcdcjXtlhBbRUfqXE1PbYfFpLs%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376518%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
45,"Gaming Keyboard, 7-Color Rainbow LED Backlit, 104 Keys Quiet Light Up Keyboard, Wrist Rest, Whisper Silent, Anti-ghosting Multimedia Keys, Waterproof USB Wired Keyboard for PC Mac Xbox",$19.99,4.5 ,https://m.media-amazon.com/images/I/71xV95j1TyL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjc5MzUwMTA0NDY3MDg0OjE3MTEzNzY1MTg6c3BfYnRmOjIwMDA2MzE3MDE5Nzc5ODo6MDo6&url=%2FKeyboard-7-Color-Multimedia-Anti-ghosting-Waterproof%2Fdp%2FB09YRBD8TM%2Fref%3Dsr_1_38_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.KStilQrMggEq6GFc8gVpOFgQKnOO6YtfAbeg24lybudMzjD1pHsiS5SBcgIjWTPvxSGNvEKyOafStdIIxV_js3dUDbqk1sjyC1GQcuQri8LC1iKXbuI0PphGHHSCoYFcycRqpzWfjqwHILdCvmITMo5lvpI7x8vRHrQRn4pNsBVeIgcTZU63A0mqvZpmh8oKaE2_WFHWVlodts9qykD8K1u996wBoFEewZEJMO23LKc.eiaXUKH_2Sa17AH6wYcdcjXtlhBbRUfqXE1PbYfFpLs%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376518%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
46,"Wireless Keyboard and Mouse Combo - RGB Backlit, Rechargeable & Light Up Letters, Full-Size, Ergonomic Tilt Angle, Sleep Mode, 2.4GHz Quiet Keyboard Mouse for Mac, Windows, Laptop, PC, Trueque",$39.99,4.3 ,https://m.media-amazon.com/images/I/71PuVChUUIL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://aax-us-iad.amazon.com/x/c/RHIflgxX1BcX0aC7HiGLTFMAAAGOdf1L1AEAAAH2AQBvbm9fdHhuX2JpZDUgICBvbm9fdHhuX2ltcDEgICBZZqCu/https://www.amazon.com/Wireless-Keyboard-Rechargeable-Ergonomic-Foldable/dp/B09TKH352V/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.805ca70d-e057-4820-b9b3-729eee71f8a9%3Aamzn1.sym.805ca70d-e057-4820-b9b3-729eee71f8a9&crid=1DCSWSAQSZ51W&cv_ct_cx=keyboard&dib=eyJ2IjoiMSJ9.9moEQ8CXCXeGGmqJFZVW1w.NL5H8C5_pX0uwbEvjB50UcBmWH0oqE5sVP0-vJGvxTA&dib_tag=se&keywords=keyboard&pd_rd_i=B09TKH352V&pd_rd_r=5d16e1f0-0fbe-4246-a08e-eff70ac686bb&pd_rd_w=Wbcxn&pd_rd_wg=J23RR&pf_rd_p=805ca70d-e057-4820-b9b3-729eee71f8a9&pf_rd_r=MY3768P31TDK38SZH8RB&qid=1711376518&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-17-48f7baba-8e26-45f3-8811-e1a601ad20bf
47,"RedThunder K10 Wireless Gaming Keyboard and Mouse Combo, LED Backlit Rechargeable 3800mAh Battery, Mechanical Feel Anti-ghosting Keyboard + 7D 3200DPI Mice for PC Gamer (Black)",$44.79,4.0 ,https://m.media-amazon.com/images/I/51dWD9ukeSL._SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNTM3OTA2NDY1MTQ3MDg0OjE3MTEzNzY1ODI6c3BfYXRmX25leHQ6MjAwMDgyOTY0Nzg5MDYxOjowOjo&url=%2FRedThunder-Wireless-Rechargeable-Mechanical-Anti-ghosting%2Fdp%2FB09BR46F63%2Fref%3Dsr_1_33_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.L618kf26hvIucC5TYRjToYUce-iV-E8VhQcAEtaSUlaJH6wIiFGMAuytI4riy2l8bd8ctsO-yVaid_dldtrX71zrkR4vqAGZW3pp1W6TaY9hYwZQR-SSoiZb-lrU8kqaoHxwiy9Yf2jL2SrNspnbmbh2qt9SPXmGuUXy-u20jeGY0FHOcQOrIQEa09HUQZCc8iTod8erCuOPwfEB9FzgMiAHmbVeIMEAWCGSxsTps08.w1ALkjvlZaqpoGFoNaxT0udTyGDFk0fgVeApzPpNX7M%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376582%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
48,"AULA Gaming Keyboard, 104 Keys Gaming Keyboard and Mouse Combo with RGB Backlit, All-Metal Panel, PC Gaming Keyboard Mouse, Wired Keyboard for MAC Xbox PC Gamers",$29.99,4.4 ,https://m.media-amazon.com/images/I/71cd3Qs3fEL.__AC_SY300_SX300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNTM3OTA2NDY1MTQ3MDg0OjE3MTEzNzY1ODI6c3BfYXRmX25leHQ6MzAwMTU0NDczODg3OTAyOjowOjo&url=%2FAULA-Keyboard-Backlit-Computer-Windows%2Fdp%2FB0B3RJML38%2Fref%3Dsr_1_34_sspa%3Fcrid%3D1DCSWSAQSZ51W%26dib%3DeyJ2IjoiMSJ9.L618kf26hvIucC5TYRjToYUce-iV-E8VhQcAEtaSUlaJH6wIiFGMAuytI4riy2l8bd8ctsO-yVaid_dldtrX71zrkR4vqAGZW3pp1W6TaY9hYwZQR-SSoiZb-lrU8kqaoHxwiy9Yf2jL2SrNspnbmbh2qt9SPXmGuUXy-u20jeGY0FHOcQOrIQEa09HUQZCc8iTod8erCuOPwfEB9FzgMiAHmbVeIMEAWCGSxsTps08.w1ALkjvlZaqpoGFoNaxT0udTyGDFk0fgVeApzPpNX7M%26dib_tag%3Dse%26keywords%3Dkeyboard%26qid%3D1711376582%26s%3Delectronics%26sprefix%3Dke%252Celectronics-intl-ship%252C665%26sr%3D1-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
49,,,,,,https://www.amazon.com/AULA-Keyboard-Backlit-Computer-Windows/dp/B0B3RJML38/ref=sr_1_35?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.L618kf26hvIucC5TYRjToYUce-iV-E8VhQcAEtaSUlaJH6wIiFGMAuytI4riy2l8bd8ctsO-yVaid_dldtrX71zrkR4vqAGZW3pp1W6TaY9hYwZQR-SSoiZb-lrU8kqaoHxwiy9Yf2jL2SrNspnbmbh2qt9SPXmGuUXy-u20jeGY0FHOcQOrIQEa09HUQZCc8iTod8erCuOPwfEB9FzgMiAHmbVeIMEAWCGSxsTps08.w1ALkjvlZaqpoGFoNaxT0udTyGDFk0fgVeApzPpNX7M&dib_tag=se&keywords=keyboard&qid=1711376582&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-35
50,"SteelSeries Apex 3 TKL RGB Gaming Keyboard – Tenkeyless Compact Form Factor - 8-Zone RGB Illumination – IP32 Water & Dust Resistant – Whisper Quiet Gaming Switch – Gaming Grade Anti-Ghosting,Black",$28.89,4.6 ,https://m.media-amazon.com/images/I/71UnL+fUeWL._AC_SY300_SX300_.jpg,"Every aspect of the Prime+ mouse was meticulously designed with a single goal in mind: victory. Co-developed with the world’s leading competitive players, the Prime+ mouse has a battle-tested shape, lightweight form factor, hyper durable design, textured matte finish, esports pro sensor performance, and full on-board customization.",https://www.amazon.com/SteelSeries-Apex-Gaming-Keyboard-Anti-Ghosting/dp/B09FTNMT84/ref=sr_1_36?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.L618kf26hvIucC5TYRjToYUce-iV-E8VhQcAEtaSUlaJH6wIiFGMAuytI4riy2l8bd8ctsO-yVaid_dldtrX71zrkR4vqAGZW3pp1W6TaY9hYwZQR-SSoiZb-lrU8kqaoHxwiy9Yf2jL2SrNspnbmbh2qt9SPXmGuUXy-u20jeGY0FHOcQOrIQEa09HUQZCc8iTod8erCuOPwfEB9FzgMiAHmbVeIMEAWCGSxsTps08.w1ALkjvlZaqpoGFoNaxT0udTyGDFk0fgVeApzPpNX7M&dib_tag=se&keywords=keyboard&qid=1711376582&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-36
51,,,,,,https://www.amazon.com/Dell-Wired-Keyboard-Black-580-ADMT/dp/B00ZYLMQH0/ref=sr_1_37?crid=1DCSWSAQSZ51W&dib=eyJ2IjoiMSJ9.L618kf26hvIucC5TYRjToYUce-iV-E8VhQcAEtaSUlaJH6wIiFGMAuytI4riy2l8bd8ctsO-yVaid_dldtrX71zrkR4vqAGZW3pp1W6TaY9hYwZQR-SSoiZb-lrU8kqaoHxwiy9Yf2jL2SrNspnbmbh2qt9SPXmGuUXy-u20jeGY0FHOcQOrIQEa09HUQZCc8iTod8erCuOPwfEB9FzgMiAHmbVeIMEAWCGSxsTps08.w1ALkjvlZaqpoGFoNaxT0udTyGDFk0fgVeApzPpNX7M&dib_tag=se&keywords=keyboard&qid=1711376582&s=electronics&sprefix=ke%2Celectronics-intl-ship%2C665&sr=1-37
